curve_type,sample_id,x,density
observed,observed,50.99833840817382,0.0022308145722141743
observed,observed,51.27339153342949,0.0022787227925381614
observed,observed,51.548444658685156,0.0023244183300810965
observed,observed,51.82349778394082,0.0023663991288193076
observed,observed,52.09855090919649,0.002403286220401606
observed,observed,52.37360403445216,0.002433969034129049
observed,observed,52.648657159707824,0.002457714313165389
observed,observed,52.92371028496349,0.0024742232979313786
observed,observed,53.19876341021916,0.002483628372637728
observed,observed,53.473816535474825,0.002486428895138426
observed,observed,53.74886966073049,0.0024833753587168946
observed,observed,54.02392278598616,0.0024753198365445976
observed,observed,54.298975911241826,0.0024630571417941284
observed,observed,54.57402903649749,0.0024471838438941207
observed,observed,54.84908216175316,0.0024280003984470428
observed,observed,55.124135287008826,0.0024054752640250204
observed,observed,55.39918841226449,0.0023792800234153453
observed,observed,55.67424153752016,0.0023488929570502307
observed,observed,55.94929466277583,0.0023137573162560154
observed,observed,56.224347788031494,0.002273471659022024
observed,observed,56.49940091328716,0.002227984451966383
observed,observed,56.77445403854283,0.002177764356526631
observed,observed,57.049507163798495,0.0021239210614810897
observed,observed,57.32456028905416,0.002068258403147017
observed,observed,57.59961341430983,0.0020132506178094736
observed,observed,57.874666539565496,0.0019619425195562703
observed,observed,58.14971966482116,0.001917783853998859
observed,observed,58.42477279007683,0.0018844158985766122
observed,observed,58.6998259153325,0.0018654337047985562
observed,observed,58.97487904058816,0.0018641496957860506
observed,observed,59.24993216584383,0.0018833835139738786
observed,observed,59.52498529109949,0.0019252993155074527
observed,observed,59.80003841635516,0.0019913057404308907
observed,observed,60.075091541610824,0.0020820264386269597
observed,observed,60.35014466686649,0.0021973413462922408
observed,observed,60.62519779212216,0.002336491945016437
observed,observed,60.900250917377825,0.00249823841517159
observed,observed,61.17530404263349,0.0026810535617047657
observed,observed,61.45035716788916,0.002883337907297873
observed,observed,61.725410293144826,0.003103642238219872
observed,observed,62.00046341840049,0.0033408875310706105
observed,observed,62.27551654365616,0.003594576583105871
observed,observed,62.55056966891183,0.003864995572441148
observed,observed,62.825622794167494,0.004153405913877295
observed,observed,63.10067591942316,0.004462226114281373
observed,observed,63.37572904467883,0.004795199355818154
observed,observed,63.650782169934494,0.0051575355135561
observed,observed,63.92583529519016,0.005556007448522338
