市州,year,city_id,grade_id,obs_id,F_strength,F_speed,F_endurance,F_flexibility
达州市教育局,2019,17,0,88,-2.207151739,-0.686153163,0.1132534325612445,-0.296771029
达州市教育局,2019,17,4,89,-2.419429505,-0.970789291,-0.63147956,-0.568640499
遂宁市教育局,2019,18,1,90,-0.216357758,-1.268432511,-0.907297213,-1.714560604
遂宁市教育局,2019,18,2,91,-0.866447227,-1.580421568,-0.795225006,-1.142861154
遂宁市教育局,2019,18,3,92,-1.274962585,-1.466559717,0.133772771140448,-0.482068335
遂宁市教育局,2019,18,0,93,-1.942408202,-0.166843626,-1.448703087,-1.650398595
遂宁市教育局,2019,18,4,94,-2.263258099,0.10453401966408739,-0.769732968,-1.861731468
阿坝藏族羌族自治州教育局,2019,19,1,95,0.25392724130426647,-0.895681488,-0.447699758,-0.020405265
阿坝藏族羌族自治州教育局,2019,19,2,96,0.5452219341632879,-0.821942887,0.06182807426675463,0.718101597991227
阿坝藏族羌族自治州教育局,2019,19,3,97,0.27121135291713483,-1.069216,1.2906745319647817,1.363228390169386
阿坝藏族羌族自治州教育局,2019,19,0,98,-1.190721211,-0.886408012,0.8503118949919743,-0.253760818
阿坝藏族羌族自治州教育局,2019,19,4,99,-0.473691627,-0.771426257,0.14749045801126642,-0.520596517
雅安市教育局,2019,20,1,100,0.40918463413525424,0.06604949491455468,-0.068379366,-0.381650215
雅安市教育局,2019,20,2,101,0.3546552658194085,-0.310735478,0.009610574179563295,0.15103092825199588
雅安市教育局,2019,20,3,102,0.26912250640154833,-0.483784852,0.718594978322808,0.2095192016388719
雅安市教育局,2019,20,0,103,-1.002234924,0.5598886080837314,0.26023437290156376,-1.03042081
雅安市教育局,2019,20,4,104,-1.700809431,0.14046582632472865,-0.061645398,-1.499721086
乐山市教育局,2020,0,1,105,0.07183615582348309,-0.384342239,0.08233970504091032,-0.416305998
乐山市教育局,2020,0,2,106,0.23652322015063731,-0.508359482,-0.318782568,-0.114960041
乐山市教育局,2020,0,3,107,0.6841002913925612,-0.798206909,-0.333653732,0.1504336283110398
乐山市教育局,2020,0,0,108,-1.100669617,0.42031705620035087,-3.024142208,0.08706326851207453
乐山市教育局,2020,0,4,109,-1.588991648,0.23977914327710204,-3.06355704,-0.071594275
内江市教育局,2020,1,1,110,-0.627624912,-1.144137477,-0.3786706,-0.551039892
内江市教育局,2020,1,2,111,-0.281410405,-1.731878727,-0.47203429,-0.129649065
内江市教育局,2020,1,3,112,-0.481740108,-1.658820159,0.026003494859079435,0.22840940576574192
内江市教育局,2020,1,0,113,-1.516284936,0.10012595374309134,-2.683058417,-0.82558413
内江市教育局,2020,1,4,114,-1.324579365,-0.072042973,-1.445103099,-0.642456268
凉山彝族自治州教育局,2020,2,1,115,1.0716403701392039,-0.978641191,-0.822593335,0.3696575963342631
凉山彝族自治州教育局,2020,2,2,116,-0.157328367,-1.431381273,-0.48783615,1.0725378108069183
凉山彝族自治州教育局,2020,2,3,117,-0.835017791,-1.765982563,0.00021616346410894882,1.7998962222496622
凉山彝族自治州教育局,2020,2,0,118,-1.598064626,0.228643825474297,0.650899860414515,0.7623696963630928
凉山彝族自治州教育局,2020,2,4,119,-2.209515344,-0.060945214,-0.348824343,1.672732004189292
南充市教育局,2020,3,1,120,0.6851739367410501,-1.205824319,-1.228374982,-0.960915166
南充市教育局,2020,3,2,121,-0.123812713,-1.785102191,-1.516762079,-0.493837741
南充市教育局,2020,3,3,122,-0.815667733,-2.02506371,-1.100867562,-0.160750993
南充市教育局,2020,3,0,123,-1.35832001,-0.411886134,-1.532852181,-0.048511653
南充市教育局,2020,3,4,124,-1.453258121,-0.738838528,-2.236119755,0.1923577192645267
宜宾市教育局,2020,4,1,125,0.3761222676529999,-0.669365265,-0.205280004,0.049955899877982705
宜宾市教育局,2020,4,2,126,0.20156228812742139,-0.671532617,-0.405822037,0.6399146825193941
